category,rho,estimate,ci_lb,ci_ub,p_value,sigma2_between,sigma2_within,k,n_studies
Estradiol and alike,0.4,-0.07617933554974893,-0.5668263842015948,0.4144677131020969,0.7608918039075748,0.3632289321866658,1.9291378124890305e-9,29,7
Estradiol and alike,0.5,0.016633104352251724,-0.44170307301971157,0.47496928172421504,0.94329631817941,0.12544467729997963,0.2274483878704986,29,7
Estradiol and alike,0.6,0.11051391201594837,-0.36166499610892777,0.5826928201408246,0.6464270688787062,1.1839104691300581e-8,0.4286771246353485,29,7
Estradiol and alike,0.8,0.2447016423001815,-0.38777264851918064,0.8771759331195437,0.44827031795859223,1.2592641154150014e-8,0.8367940442868359,29,7
Ethanol,0,-0.7423338983489528,-1.0189184577144441,-0.4657493389834615,1.4373589100385917e-7,6.57048415655269e-10,0.3449141528262024,55,14
Ethanol,0.2,-0.7110995297601456,-0.9663272266637065,-0.4558718328565846,4.741815042022056e-8,6.91885070516038e-10,0.26452995823488157,55,14
Ethanol,0.4,-0.6719815699706652,-0.9042715572804123,-0.43969158266091796,1.428856432965671e-8,5.724037030766221e-10,0.1868393851640949,55,14
Ethanol,0.5,-0.6472200183875039,-0.8673417245438872,-0.4270983122311205,8.270629359821e-9,4.1099956436202925e-10,0.14934352887943955,55,14
Ethanol,0.6,-0.6162214312332607,-0.8240140706622434,-0.408428791804278,6.158723701775142e-9,5.442666435995658e-10,0.11386944684692792,55,14
Ethanol,0.8,-0.504317673112114,-0.7066301917887691,-0.30200515443545883,1.0304598586776041e-6,0.010533259264497693,0.07073015407365094,55,14
NMDA antagonists,0,-1.903070117236485,-3.020198670893695,-0.7859415635792752,8.411941267475775e-4,2.5264525139243665,0.07964633122359553,22,9
NMDA antagonists,0.2,-1.903785332065768,-3.029245370483192,-0.778325293648344,9.15119382465855e-4,2.6029250641435806,0.0293486694862192,22,9
NMDA antagonists,0.4,-1.8997208505824268,-3.035472733546361,-0.7639689676184924,0.0010441836219012655,2.672999716067724,1.7008735429173037e-9,22,9
NMDA antagonists,0.5,-1.8944188806281745,-3.03691086967943,-0.751926891576919,0.0011544273138044624,2.704576043681401,7.004100224748222e-10,22,9
NMDA antagonists,0.6,-1.8860289533628587,-3.0385459798813828,-0.7335119268443346,0.0013395447180139088,2.7537552732555137,6.243659566283192e-10,22,9
NMDA antagonists,0.8,-1.8440610107924407,-3.0484936659205637,-0.6396283556643176,0.002692481220588444,3.027782068464069,8.902218142142174e-10,22,9
Valproic acid,0,-0.5951054302568063,-1.2019328251031585,0.011721964589545775,0.054592704512472036,0.23441177064293015,0.23441175240213102,9,7
Valproic acid,0.2,-0.5962579866851484,-1.2053039821941893,0.012788008823892416,0.05500825230622646,0.23556432053738735,0.23556432059152577,9,7
Valproic acid,0.4,-0.5972737280498785,-1.2084968106112235,0.013949354511466394,0.05546271696215621,0.23672342106600625,0.2367234207564729,9,7
Valproic acid,0.5,-0.5976979082183694,-1.2100080599006615,0.014612243463922758,0.055723583883483876,0.23731979679266643,0.23731979702126507,9,7
Valproic acid,0.6,-0.5980223902624804,-1.2114363931273018,0.01539161260234112,0.05603220116676103,0.23794635311201487,0.2379463522632253,9,7
Valproic acid,0.8,-0.5978429499065401,-1.2137263102650344,0.01804041045195426,0.057098914862158894,0.23952065615233245,0.2395206343286739,9,7
Stress,0,-0.6072453888571729,-1.085857395372714,-0.1286333823416319,0.012892300861431975,0.5952899238880427,0.16999608729898524,23,15
Stress,0.2,-0.6099292891153472,-1.089214740094461,-0.13064383813623331,0.012623718450387617,0.6070349006590187,0.15513602837212395,23,15
Stress,0.4,-0.6121879316891905,-1.0921905221562667,-0.13218534122211445,0.012429572197389943,0.617762829838353,0.14179696658546354,23,15
Stress,0.5,-0.6130783262573811,-1.093464376742483,-0.13269227577227916,0.012372244632345595,0.6227460155012582,0.13573060553585017,23,15
Stress,0.6,-0.6137077522296919,-1.0945034197752568,-0.13291208468412707,0.01235706085783655,0.6275048314571736,0.13007270490510292,23,15
Stress,0.8,-0.6129782915337647,-1.0947900331743858,-0.13116654989314358,0.012647742400372888,0.6368169988589865,0.11996196413273698,23,15
