effect_id,study_id,exp_id,outcome_pattern,effect_direction,test,name_ctrl,n_ctrl,mean_ctrl,sd_ctrl,name_int,pharmacological_action,n_int,mean_int,sd_int
18,Johnson_2023,Johnson_2023_exp_001,time_in_upper,indirect,Novel tank,Control,17,0.08,0.1401855913,Chlordiazepoxide,Benzodiazepine receptor agonist,19,0.21285,0.3232123567
19,Johnson_2023,Johnson_2023_exp_001,time_in_upper,indirect,Novel tank,Control,17,0.08,0.1401855913,Chlordiazepoxide,Benzodiazepine receptor agonist,16,0.33,0.2
20,Johnson_2023,Johnson_2023_exp_001,time_in_upper,indirect,Novel tank,Control,17,0.08,0.1401855913,Chlordiazepoxide,Benzodiazepine receptor agonist,18,0.37,0.1272792206
21,Johnson_2023,Johnson_2023_exp_002,time_in_dark,direct,Light/dark,Control,19,153.56765,94.50833922,Chlordiazepoxide,Benzodiazepine receptor agonist,19,152.2723,111.5801849
22,Johnson_2023,Johnson_2023_exp_002,time_in_dark,direct,Light/dark,Control,19,153.56765,94.50833922,Chlordiazepoxide,Benzodiazepine receptor agonist,19,138.3091,84.14287754
23,Johnson_2023,Johnson_2023_exp_002,time_in_dark,direct,Light/dark,Control,19,153.56765,94.50833922,Chlordiazepoxide,Benzodiazepine receptor agonist,19,138.3976,79.8053372
24,Gusso_2021,Gusso_2021_exp_001,time_in_upper,indirect,Novel tank,Control,17,89.4615,73.46137293,Clonazepam,Benzodiazepine receptor agonist,13,169.009,110.0666638
25,Bortolotto_2015,Bortolotto_2015_exp_004,time_in_upper,indirect,Novel tank,Control,12,91.264,55.09480414,Dipyridamole,Nucleoside transporter inhibitor,12,94.7825,39.67262375
26,Giacomini_2020,Giacomini_2020_exp_001,time_in_upper,indirect,Novel tank,Control,15,54.242,42.58732487,Donepezil,Acetylcholinesterase inhibitor,15,56.377,71.64631892
27,Giacomini_2020,Giacomini_2020_exp_001,time_in_upper,indirect,Novel tank,Control,15,54.242,42.58732487,Donepezil,Acetylcholinesterase inhibitor,15,101.5155,132.2352704
28,Giacomini_2020,Giacomini_2020_exp_001,time_in_upper,indirect,Novel tank,Control,15,54.242,42.58732487,Donepezil,Acetylcholinesterase inhibitor,15,100.535,140.7655162
29,Giacomini_2020,Giacomini_2020_exp_002,time_in_light,indirect,Light/dark,Control,12,185.019,47.03210763,Donepezil,Acetylcholinesterase inhibitor,12,205.0815,58.85335439
30,Giacomini_2020,Giacomini_2020_exp_002,time_in_light,indirect,Light/dark,Control,12,185.019,47.03210763,Donepezil,Acetylcholinesterase inhibitor,12,204.053,69.54183992
31,Giacomini_2020,Giacomini_2020_exp_002,time_in_light,indirect,Light/dark,Control,12,185.019,47.03210763,Donepezil,Acetylcholinesterase inhibitor,12,122.543,45.04890945
32,Bortolotto_2015,Bortolotto_2015_exp_002,time_in_upper,indirect,Novel tank,Control,12,91.388,75.03417303,DPCPX,Adenosine A1 receptor antagonist,12,77.6245,59.52365805
33,Joseph_2021,Joseph_2021_exp_001,time_in_upper,indirect,Novel tank,Control,8,71.6985,33.09949093,Duloxetine,Serotonin–norepinephrine reuptake inhibitor,8,62.032,36.7800989
34,Lutte_2020,Lutte_2020_exp_001,time_in_upper,indirect,Novel tank,Control,10,104.202,12.2975,EHNA,Adenosine deaminase inhibitor,10,117.5765,6.32
35,Bortolotto_2015,Bortolotto_2015_exp_003,time_in_upper,indirect,Novel tank,Control,12,81.391,49.62325564,EHNA,Adenosine deaminase inhibitor,12,85.4475,30.96906844
36,Wu_2022,Wu_2022_exp_001,time_in_upper,indirect,Novel tank,Control,16,10.668,31.562,Fentanyl,μ-opioid receptor agonist,16,30.798,41.434
37,Wu_2022,Wu_2022_exp_001,time_in_upper,indirect,Novel tank,Control,16,10.668,31.562,Fentanyl,μ-opioid receptor agonist,16,28.1465,35.512
