effect_id,category,study_id,exp_id,outcome_pattern,effect_direction,name_ctrl,n_ctrl,mean_ctrl,sd_ctrl,name_int,n_int,mean_int,sd_int,overall_rob
54,Ethanol,Araujo-Silva_2018,Araujo-Silva_2018_exp_002,time_in_social,direct,Control,15,498.4325,82.95543029,Ethanol,15,240.675,184.5573389,Low
55,Ethanol,Baggio_2018,Baggio_2018_exp_001,time_in_social,direct,Control,8,278.3945,50.75753897,Ethanol,8,221.662,82.55330249,High
56,Ethanol,Baggio_2018,Baggio_2018_exp_001,time_in_social,direct,Control,8,278.3945,50.75753897,Ethanol,8,162.0675,34.51671042,High
57,Ethanol,Baggio_2018,Baggio_2018_exp_001,time_in_social,direct,Control,8,278.3945,50.75753897,Ethanol,8,68.482,46.64076329,High
58,Ethanol,Baggio_2018,Baggio_2018_exp_001,time_in_social,direct,Control,8,278.3945,50.75753897,Ethanol,8,88.523,59.01371774,High
59,Ethanol,Fernandes_2009,Fernandes_2009_exp_001,distance_to_social_delta,indirect,Control,22,-16.08,12.49292238,Ethanol,20,-11.3635,14.00225768,High
60,Ethanol,Fernandes_2009,Fernandes_2009_exp_001,distance_to_social_delta,indirect,Control,22,-16.08,12.49292238,Ethanol,21,-8.3425,14.79026306,High
61,Ethanol,Fernandes_2009,Fernandes_2009_exp_001,distance_to_social_delta,indirect,Control,22,-16.08,12.49292238,Ethanol,21,-8.3425,13.90811723,High
62,Ethanol,Fernandes_2009,Fernandes_2009_exp_001,distance_to_social_delta,indirect,Control,22,-16.08,12.49292238,Ethanol,19,-2.8615,14.12283258,High
63,Ethanol,Fernandes_2015_A,Fernandes_2015_A_exp_001,distance_to_social_delta,indirect,Control,26,-8.175,8.38533759,Ethanol,17,-2.4425,6.827862916,Low
64,Ethanol,Fernandes_2015_B,Fernandes_2015_B_exp_001,distance_to_social_delta,indirect,Control,29,-12.3555,8.831670284,Ethanol,30,-8.5675,11.73221718,High
65,Ethanol,Fernandes_2015_B,Fernandes_2015_B_exp_001,distance_to_social_delta,indirect,Control,29,-12.3555,8.831670284,Ethanol,29,-2.6315,9.531741709,High
66,Ethanol,Fernandes_2018,Fernandes_2018_exp_001,time_in_social,direct,Control,12,68.901,25.93572879,Ethanol,12,31.7315,23.74641657,Low
67,Ethanol,Fernandes_2018,Fernandes_2018_exp_001,time_in_social,direct,Control,12,68.901,25.93572879,Ethanol,11,38.5865,21.73550056,Low
68,Ethanol,Fontana_2018,Fontana_2018_exp_001,time_in_social,direct,Control,10,88.92478,19.73862421,Ethanol,10,73.91165,34.79546312,High
69,Ethanol,Gerlai_2000,Gerlai_2000_exp_001,time_in_social,direct,Control,15,65.1015,25.47261147,Ethanol,9,46.16,40.659,Low
70,Ethanol,Gerlai_2000,Gerlai_2000_exp_001,time_in_social,direct,Control,15,65.1015,25.47261147,Ethanol,6,23.22,31.78702839,Low
71,Ethanol,Gerlai_2000,Gerlai_2000_exp_001,time_in_social,direct,Control,15,65.1015,25.47261147,Ethanol,9,27.5205,19.758,Low
72,Ethanol,Gerlai_2003,Gerlai_2003_exp_001,time_in_social,direct,Control,15,65.407,24.5121116,Ethanol,9,45.8985,41.3835,Low
73,Ethanol,Gerlai_2003,Gerlai_2003_exp_001,time_in_social,direct,Control,15,65.407,24.5121116,Ethanol,6,23.441,30.627195,Low
74,Ethanol,Gerlai_2003,Gerlai_2003_exp_001,time_in_social,direct,Control,15,65.407,24.5121116,Ethanol,9,27.25,20.553,Low
75,Ethanol,Gerlai_2008,Gerlai_2008_exp_001,time_in_social,direct,Control,10,28.494,21.6995493,Ethanol,15,9.421,11.35946015,Low
76,Ethanol,Gerlai_2008,Gerlai_2008_exp_001,time_in_social,direct,Control,10,28.494,21.6995493,Ethanol,11,11.8455,12.37266878,Low
77,Ethanol,Gerlai_2008,Gerlai_2008_exp_001,time_in_social,direct,Control,10,28.494,21.6995493,Ethanol,15,10.5865,13.68905964,Low
78,Ethanol,Gerlai_2008,Gerlai_2008_exp_002,time_in_social,direct,Control,9,18.567,13.308,Ethanol,12,18.253,16.17215839,Low
79,Ethanol,Gerlai_2008,Gerlai_2008_exp_002,time_in_social,direct,Control,9,18.567,13.308,Ethanol,14,16.2335,16.53999648,Low
80,Ethanol,Gerlai_2008,Gerlai_2008_exp_002,time_in_social,direct,Control,9,18.567,13.308,Ethanol,15,9.2685,13.03839844,Low
81,Ethanol,Gerlai_2008,Gerlai_2008_exp_003,time_in_social,direct,Control,11,29.2555,18.12203785,Ethanol,15,16.181,18.86336539,Low
82,Ethanol,Gerlai_2008,Gerlai_2008_exp_003,time_in_social,direct,Control,11,29.2555,18.12203785,Ethanol,14,22.249,21.16468501,Low
83,Ethanol,Gerlai_2008,Gerlai_2008_exp_003,time_in_social,direct,Control,11,29.2555,18.12203785,Ethanol,13,16.7175,25.55975299,Low
84,Ethanol,Gerlai_2008,Gerlai_2008_exp_004,time_in_social,direct,Control,12,24.1795,22.9462091,Ethanol,15,10.4445,13.12747705,Low
85,Ethanol,Gerlai_2008,Gerlai_2008_exp_004,time_in_social,direct,Control,12,24.1795,22.9462091,Ethanol,10,10.967,7.570492718,Low
86,Ethanol,Gerlai_2008,Gerlai_2008_exp_004,time_in_social,direct,Control,12,24.1795,22.9462091,Ethanol,11,12.184,8.656390703,Low
87,Ethanol,Gerlai_2009,Gerlai_2009_exp_001,distance_to_social_delta,indirect,Control,17,-15.3835,8.61935231,Ethanol,13,-17.6215,10.53361805,Low
88,Ethanol,Gerlai_2009,Gerlai_2009_exp_001,distance_to_social_delta,indirect,Control,17,-15.3835,8.61935231,Ethanol,18,-14.012,7.47341157,Low
89,Ethanol,Gerlai_2009,Gerlai_2009_exp_001,distance_to_social_delta,indirect,Control,17,-15.3835,8.61935231,Ethanol,16,-3.2975,15.298,Low
90,Ethanol,Gerlai_2009,Gerlai_2009_exp_001,distance_to_social_delta,indirect,Control,17,-15.3835,8.61935231,Ethanol,15,-1.1345,12.84474927,Low
91,Ethanol,Gerlai_2009,Gerlai_2009_exp_002,distance_to_social_delta,indirect,Control,15,-11.342,12.72275029,Ethanol,15,-7.0385,13.75877334,Low
92,Ethanol,Gerlai_2009,Gerlai_2009_exp_002,distance_to_social_delta,indirect,Control,15,-11.342,12.72275029,Ethanol,17,-9.9035,10.63142786,Low
93,Ethanol,Gerlai_2009,Gerlai_2009_exp_002,distance_to_social_delta,indirect,Control,15,-11.342,12.72275029,Ethanol,14,-5.2725,6.5722212,Low
94,Ethanol,Gerlai_2009,Gerlai_2009_exp_002,distance_to_social_delta,indirect,Control,15,-11.342,12.72275029,Ethanol,14,-10.5995,9.385947555,Low
95,Ethanol,Lutte_2020,Lutte_2020_exp_001,time_in_social,direct,Control,10,265.4205,22.642,Ethanol,10,212.419,47.4615,Low
96,Ethanol,Lutte_2020,Lutte_2020_exp_001,time_in_social,direct,Control,10,265.4205,22.642,Ethanol,10,188.827,14.6895,Low
97,Ethanol,Lutte_2020,Lutte_2020_exp_002,time_in_social,direct,Control,10,210.9015,34.5725,Ethanol,10,250.729,35.1905,Low
